Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/GIBe Gonder.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:06:50,2021-10-15 17:07:27,"36,392s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:07:27,2021-10-15 17:07:28,"0,683s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Izleme Kayitlari,Chrome 94.0.4606.81,,,2021-10-15 17:07:28,2021-10-15 17:08:12,"44,389s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:07:28,2021-10-15 17:07:31,"3,632s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Izleme Kayitlari.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:07:32,2021-10-15 17:08:11,"39,521s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:08:11,2021-10-15 17:08:12,"0,671s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Rapor,Chrome 94.0.4606.81,,,2021-10-15 17:08:12,2021-10-15 17:08:48,"36,374s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:08:12,2021-10-15 17:08:16,"4,382s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Rapor.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:08:17,2021-10-15 17:08:48,"30,762s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:08:48,2021-10-15 17:08:48,"0,648s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/XML,Chrome 94.0.4606.81,,,2021-10-15 17:08:48,2021-10-15 17:09:24,"35,511s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:08:48,2021-10-15 17:08:52,"4,112s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/XML.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:08:53,2021-10-15 17:09:23,"30,225s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:09:23,2021-10-15 17:09:24,"0,694s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Yeniden Olustur,Chrome 94.0.4606.81,,,2021-10-15 17:09:24,2021-10-15 17:10:16,"52,278s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:09:24,2021-10-15 17:09:28,"4,296s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Mustahsil Uygulamasi/e-Mustahsil Makbuzu Raporlari/Yeniden Olustur.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:09:29,2021-10-15 17:10:15,"46,769s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:10:15,2021-10-15 17:10:16,"0,633s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuz Raporlari/Ekran Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 17:10:16,2021-10-15 17:11:05,"49,085s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:10:16,2021-10-15 17:10:20,"4,346s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuz Raporlari/Ekran Kontrolu.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:10:21,2021-10-15 17:11:04,"43,198s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:11:04,2021-10-15 17:11:05,"0,714s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuz Raporlari/GIBe Gonder,Chrome 94.0.4606.81,,,2021-10-15 17:11:05,2021-10-15 17:11:43,"38,030s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:11:05,2021-10-15 17:11:10,"4,628s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuz Raporlari/GIBe Gonder.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:11:10,2021-10-15 17:11:43,"32,074s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:11:43,2021-10-15 17:11:43,"0,691s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuz Raporlari/Izleme Kayitlari,Chrome 94.0.4606.81,,,2021-10-15 17:11:43,2021-10-15 17:12:40,"56,833s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:11:43,2021-10-15 17:11:48,"4,291s",PASSED
"runFeatureFile(""Include/features/e-Makbuz/e-Serbest Meslek Uygulaması/e-Serbest Meslek Makbuz Raporlari/Izleme Kayitlari.feature"")",Chrome 94.0.4606.81,,,2021-10-15 17:11:48,2021-10-15 17:12:39,"51,272s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 94.0.4606.81,,,2021-10-15 17:12:39,2021-10-15 17:12:40,"0,667s",PASSED
,,,,,,,
Test Cases/Case Repository/e-Makbuz/e-Serbest Meslek Uygulamasi/e-Serbest Meslek Makbuz Raporlari/Rapor,Chrome 94.0.4606.81,,,2021-10-15 17:12:40,2021-10-15 17:13:13,"32,711s",PASSED
