Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Mustahsil Makbuz/TCKN-e-Mustahsil Makbuz,Chrome 95.0.4638.69,,,2021-11-12 18:21:44,2021-11-12 18:22:48,"1m - 4,427s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:21:44,2021-11-12 18:21:48,"4,138s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Mustahsil Makbuz/TCKN-e-Mustahsil Makbuz.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:21:48,2021-11-12 18:22:48,"59,435s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:22:48,2021-11-12 18:22:48,"0,642s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Serbest Meslek Makbuzu/VKN-e-Serbest Meslek Makbuzu-Elektronik,Chrome 95.0.4638.69,,,2021-11-12 18:22:48,2021-11-12 18:24:07,"1m - 18,228s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:22:48,2021-11-12 18:22:52,"3,220s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Serbest Meslek Makbuzu/VKN-e-Serbest Meslek Makbuzu-Elektronik.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:22:52,2021-11-12 18:24:06,"1m - 14,167s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:24:06,2021-11-12 18:24:07,"0,643s",PASSED
,,,,,,,
Test Cases/Case Repository/Regresyon/e-Serbest Meslek Makbuzu/VKN-e-Serbest Meslek Makbuzu-Kagit,Chrome 95.0.4638.69,,,2021-11-12 18:24:07,2021-11-12 18:25:57,"1m - 50,154s",PASSED
Start listener action : sampleBeforeTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:24:07,2021-11-12 18:24:10,"3,301s",PASSED
"runFeatureFile(""Include/features/Regresyon/e-Serbest Meslek Makbuzu/VKN-e-Serbest Meslek Makbuzu-Kagit.feature"")",Chrome 95.0.4638.69,,,2021-11-12 18:24:10,2021-11-12 18:25:56,"1m - 45,850s",PASSED
Start listener action : sampleAfterTestSuite,Chrome 95.0.4638.69,,,2021-11-12 18:25:56,2021-11-12 18:25:57,"0,631s",PASSED
